"governorate_name_en","governorate_name_ar","delegation_name_en","delegation_name_ar","imada_name_en","imada_name_ar","imada_uid","bomb_strikes","total_bomb_tons","tons_he","tons_frag","tons_ic","first_raid","last_raid"
"Mannouba","منوبة","Djedeida","الجديدة","El Habibia","الحبيبية","1456316","4","16.0","4.0","12.0","0.0","1943-05-06","1943-05-06"
"Gafsa","قفصة","Belkhir","بلخير","El Ayaïcha","العيايشة","61601977","4","16.0","4.0","12.0","0.0","1943-04-07","1943-04-07"
"Nabeul","نابل","Grombalia","قرمبالية","Chammes","شماس","1564404","2","14.0","14.0","0.0","0.0","1943-04-20","1943-04-20"
"Zaghouan","زغوان","Ez-Zeriba","الزريبة","Bou Achir","بوعشير","1652441","2","14.0","2.0","12.0","0.0","1943-05-11","1943-05-11"
"Gabes","قابس","Gabes Sud","قابس الجنوبية","El Medou","المدو","51531700","6","14.0","2.0","12.0","0.0","1943-04-20","1943-04-20"
"Kebeli","قبلي","Souk El Ahed","سوق الأحد","El Menchia","المنشية","63532044","4","14.0","4.0","10.0","0.0","1943-03-24","1943-03-24"
"Kebeli","قبلي","Douz Nord","دوز الشمالية","Douz Est","دوز الشرقية","63542051","4","14.0","4.0","10.0","0.0","1943-04-07","1943-04-07"
"Nabeul","نابل","Kelibia","قليبية","Kelibia Est","قليبية الشرقية","1557369","1","13.5","13.5","0.0","0.0","1943-05-07","1943-05-07"
"Mannouba","منوبة","Tebourba","طبربة","Ech - Chouigui","الشويقي","1457323","2","12.0","12.0","0.0","0.0","1943-04-26","1943-04-26"
"Tataouine","تطاوين","Beni Mehira","بني مهيرة","Ksar Aoun","قصر عون","53531885","12","12.0","10.0","2.0","0.0","1943-01-22","1943-01-22"
"Gabes","قابس","El Hamma","الحامة","El Behaïer","البحاير","51571728","1","11.62","11.62","0.0","0.0","1943-05-05","1943-05-05"
"Kairouan","القيروان","Sbikha","السبيخة","Sisseb","سيسب","41541397","1","8.88","8.88","0.0","0.0","1943-04-20","1943-04-20"
"Tunis","تونس","Bab El Bhar","باب بحر","Mongi Slim","المنجي سليم","115310","1","6.0","0.0","0.0","0.0","1943-01-05","1943-01-05"
"Medenine","مدنين","Medenine Sud","مدنين الجنوبية","Oued Esseder","وادي السدر","52521769","2","2.0","2.0","0.0","0.0","1943-04-02","1943-04-02"
"Kairouan","القيروان","Nasrallah","نصر الله","Nasrallah Centre","نصر اللّه المركز","41591440","3","1.96","0.0","0.0","1.46","1941-07-02","1941-07-08"
