"governorate_name_en","governorate_name_ar","delegation_name_en","delegation_name_ar","imada_name_en","imada_name_ar","imada_uid","bomb_strikes","total_bomb_tons","tons_he","tons_frag","tons_ic","first_raid","last_raid"
"Beja","باجة","Nefza","نفزة","Ezzouarâa","الزوارع","2154618","84","932.0","715.0","185.0","0.0","1942-12-17","1943-05-10"
"Gabes","قابس","Gabes Sud","قابس الجنوبية","Teboulbou","طبلبو","51531696","82","669.45","399.45","270.0","0.0","1942-11-30","1943-04-08"
"Sousse","سوسة","Sousse Jawhara","سوسة جوهرة","Sahloul","سهلول","31539999","98","616.25","510.75","0.0","0.0","1942-12-13","1943-03-07"
"Sfax","صفاقس","El Amra","العامرة","Bou Derbala","بودربالة","34591290","90","584.0","560.0","24.0","0.0","1942-12-14","1943-04-08"
"Sousse","سوسة","Enfidha","النفيضة","Enfidha","النفيضة","3160993","64","362.5","268.5","94.0","0.0","1943-03-12","1943-05-12"
"Beja","باجة","Medjez El Bab","مجاز الباب","Guerich El Ouedi","قريش الوادي","2159676","87","354.0","267.0","87.0","0.0","1943-04-16","1943-06-30"
"Zaghouan","زغوان","Zaghouan","زغوان","Oued Ezzit","واد الزيت","1651435","47","323.92","313.92","10.0","0.0","1943-04-03","1943-05-11"
"Nabeul","نابل","Soliman","سليمان","Soliman Sud","سليمان الجنوبية","1561392","18","310.0","286.0","24.0","0.0","1943-04-23","1943-05-09"
"Sfax","صفاقس","Menzel Chaker","منزل شاكر","Telil El Ajla","تليل العجلة","34611308","66","308.0","102.0","206.0","0.0","1943-03-30","1943-04-07"
"Kebeli","قبلي","Kebeli Nord","قبلي الشمالية","Saïdane","سعيدان","63522042","23","293.05","194.65","98.0","0.4","1943-03-20","1943-03-26"
"Bizerte","بنزرت","Djoumine","جومين","Ouled Ghanem","اولاد غانم","1755510","45","289.0","247.0","42.0","0.0","1942-12-16","1943-04-26"
"Gabes","قابس","Mareth","مارث","Ezzarat","الزارات","51601748","49","286.5","286.5","0.0","0.0","1943-03-14","1943-03-24"
"Zaghouan","زغوان","El Fahs","الفحص","Oued El Khadhra","وادي الخضراء","1654463","79","262.0","172.0","90.0","0.0","1943-04-23","1943-04-27"
"Gabes","قابس","Mareth","مارث","Ayoun Ez-Zerkine","عيون الزركين","51601746","31","255.64","255.64","0.0","0.0","1943-02-15","1943-03-26"
"Mannouba","منوبة","Borj Amri","برج العامري","El Moussadine","المساعدين","1455310","32","218.0","188.0","30.0","0.0","1943-05-06","1943-05-06"
"Bizerte","بنزرت","Bizerte Nord","بنزرت الشمالية","Aïn Mariam","عين مريم","1751482","29","205.0","178.5","9.0","0.0","1942-12-04","1943-05-07"
"Beja","باجة","Goubellat","قبلاط","Khacheb","خشاب","2158662","55","187.0","96.0","91.0","0.0","1943-04-15","1943-04-27"
"Gabes","قابس","El Metouia","المطوية","El Metouia Nord","المطويةالشمالية","51551707","9","176.88","176.88","0.0","0.0","1942-12-30","1943-04-07"
"Kairouan","القيروان","Kairouan Sud","القيروان الجنوبية","Merguellil","مرق الليل","41521367","59","171.0","169.0","2.0","0.0","1942-11-28","1943-02-15"
"Nabeul","نابل","Menzel Bouzelfa","منزل بوزلفة","Menzel Bou Zelfa Sud","منزل بوزلفة الجنوبية","1562396","31","166.0","64.0","102.0","0.0","1943-05-08","1943-05-09"
"Sfax","صفاقس","Tina","طينة","El Hajeb","الحاجب","34561268","11","164.72","146.72","0.0","0.0","1942-12-15","1943-04-02"
"Medenine","مدنين","Medenine Nord","مدنين الشمالية","Oum Ettameur Est","أم التمر الشرقية","52511763","22","164.0","138.0","26.0","0.0","1943-01-19","1943-01-24"
"Mannouba","منوبة","Borj Amri","برج العامري","Borj El Amri","برج العامري","1455307","17","153.3","120.3","33.0","0.0","1943-04-28","1943-05-06"
"Bizerte","بنزرت","Utique","أوتيك","El Mabtouh","المبطوح","1760553","40","148.0","76.0","72.0","0.0","1943-04-20","1943-05-03"
"Sfax","صفاقس","El Hencha","لحنشة","Sidi Hassen Belhaj","سيدي حسن بالحاج","34601293","14","142.0","134.0","8.0","0.0","1942-12-12","1943-03-01"
"Ben Arous","بن عروس","Mohamedia","المحمدية","Sidi Frej","سيدي فرج","1360260","16","141.1","129.1","12.0","0.0","1943-04-11","1943-04-16"
"Mannouba","منوبة","El Battane","البطان","Borj Ettoumi","برج التومي","1458325","46","135.0","113.0","22.0","0.0","1943-02-27","1943-05-05"
"Ariana","أريانة","Raoued","رواد","El Medina El Fadhila","المدينة الفاضلة","1253177","17","134.0","80.0","54.0","0.0","1942-12-02","1943-02-24"
"Zaghouan","زغوان","Ez-Zeriba","الزريبة","El Jouf Est","الجوف الشرقية","1652436","14","126.0","126.0","0.0","0.0","1943-05-04","1943-05-04"
"Kasserine","القصرين","Kasserine Nord","القصرين الشمالية","El Khadhra","الخضراء","42511470","35","125.0","59.0","66.0","0.0","1943-02-22","1943-02-23"
"Gafsa","قفصة","El Ksar","القصر","El Ksar","القصر","61531927","23","125.0","66.0","59.0","0.0","1943-02-16","1943-03-30"
"Gabes","قابس","El Hamma","الحامة","Secteur Est (1)","(1) المنطقة الشرقية","51571723","29","119.5","119.5","0.0","0.0","1943-03-25","1943-03-26"
"Gabes","قابس","Mareth","مارث","Arram","عرام","51601750","10","107.4","107.4","0.0","0.0","1943-02-23","1943-02-28"
"Nabeul","نابل","Soliman","سليمان","Soliman","سليمان","1561391","3","106.22","106.22","0.0","0.0","1943-04-23","1943-04-26"
"Gafsa","قفصة","EL Guetar","القطار","El Ortos","الأرطس","61591972","31","105.0","42.0","63.0","0.0","1942-12-31","1943-03-24"
"Zaghouan","زغوان","El Fahs","الفحص","El Fahs","الفحص","1654457","7","98.0","98.0","0.0","0.0","1942-12-29","1943-04-23"
"Nabeul","نابل","Kelibia","قليبية","Kelibia Ouest","قليبية الغربية","1557370","16","94.0","58.0","36.0","0.0","1943-05-07","1943-05-10"
"Bizerte","بنزرت","Mateur","ماطر","Arab Majour","عرب ماجور","1756526","8","89.8","50.8","39.0","0.0","1942-12-18","1943-04-23"
"Mahdia","المهدية","El Djem","الجم","El Aïtha","العيثة","33571186","16","84.0","50.0","34.0","0.0","1942-12-29","1943-04-05"
"Gafsa","قفصة","Belkhir","بلخير","Jbilet Ouest","جبيلة الوسط","61601981","16","82.0","32.0","50.0","0.0","1943-02-03","1943-03-31"
"Sidi Bouzid","سيدي بوزيد","Mezzouna","المزونة","Mezzouna","المزونة","43601649","16","81.0","31.0","50.0","0.0","1943-01-27","1943-03-22"
"Sidi Bouzid","سيدي بوزيد","Meknassy","المكناسي","Meknassy Ouest","المكناسي الغربية","43581637","18","78.0","66.0","12.0","0.0","1943-01-30","1943-02-14"
"Ariana","أريانة","Kalaât El Andalous","قلعة الأندلس","Pont de Bizerte","قنطرة بنزرت","1254184","13","72.0","45.0","27.0","0.0","1943-04-20","1943-05-08"
"Sfax","صفاقس","Mahres","المحرس","Mahres Sud","المحرس الجنوبية","34651337","10","64.0","64.0","0.0","0.0","1943-01-14","1943-04-08"
"Gabes","قابس","Mareth","مارث","El Alaya","العلاية","51601749","3","61.2","61.2","0.0","0.0","1943-03-22","1943-04-06"
"Sousse","سوسة","Bouficha","بوفيشة","Bouficha","بوفيشة","31611006","7","60.0","60.0","0.0","0.0","1943-04-23","1943-05-12"
"Sidi Bouzid","سيدي بوزيد","Sidi Bouzid Est","سيدي بوزيد الشرقية","Faiedh","فانض","43521584","31","58.0","46.0","12.0","0.0","1943-01-30","1943-02-14"
"Beja","باجة","Medjez El Bab","مجاز الباب","El Heri","الهري","2159668","15","57.0","15.0","42.0","0.0","1943-04-14","1943-04-17"
"Nabeul","نابل","Beni Khalled","بني خلاد","Zaouiet Djedidi","زاوية الجديدي","1563400","4","51.6","51.6","0.0","0.0","1943-03-25","1943-03-26"
"Gabes","قابس","El Metouia","المطوية","El Hicha","الهيشة","51551712","4","48.0","48.0","0.0","0.0","1943-01-20","1943-01-20"
"Mannouba","منوبة","Djedeida","الجديدة","Chaouat","شواط","1456313","3","46.0","46.0","0.0","0.0","1943-04-22","1943-04-29"
"Zaghouan","زغوان","Ez-Zeriba","الزريبة","Ez-Zriba Hammam Nord","الزريبة الحمام الشمالية","1652439","2","43.22","43.22","0.0","0.0","1943-04-25","1943-04-25"
"Mannouba","منوبة","Djedeida","الجديدة","El Mansoura","المنصورة","1456314","9","42.0","9.0","33.0","0.0","1943-05-06","1943-05-06"
"Sidi Bouzid","سيدي بوزيد","Menzel Bouzaïenne","منزل بوزيان","El Omria","العمرية","43571631","24","40.0","29.0","11.0","0.0","1943-02-11","1943-02-14"
"Nabeul","نابل","El Mida","الميدة","Korchine","قرشيين","1556365","2","39.95","39.95","0.0","0.0","1943-04-19","1943-04-19"
"Mannouba","منوبة","Mornaguia","المرناقية","Sidi Ali El Hattab","سيدي علي الحطاب","1454304","4","34.0","22.0","12.0","0.0","1943-04-30","1943-05-06"
"Nabeul","نابل","Beni Khalled","بني خلاد","Beni Khalled Est","بني خلاد الشرقية","15639999","2","34.0","34.0","0.0","0.0","1943-05-08","1943-05-08"
"Medenine","مدنين","Medenine Sud","مدنين الجنوبية","Mednine Est","مدنين الشرقية","52521766","4","31.5","31.5","0.0","0.0","1943-01-22","1943-01-24"
"Sfax","صفاقس","El Hencha","لحنشة","En-Nasr","النصر","34601292","2","30.1","27.0","0.0","3.1","1943-04-10","1943-04-12"
"Siliana","سليانة","Bou Arada","بوعرادة","Tarf Ech-chena","طرف الشناء","2453882","6","30.0","21.0","9.0","0.0","1943-04-22","1943-04-22"
"Zaghouan","زغوان","Zaghouan","زغوان","Zaghouan Ville","زغوان المدينة","1651427","2","28.0","28.0","0.0","0.0","1943-05-04","1943-05-04"
"Beja","باجة","Béja Nord","باجة الشمالية","El Mounchar","المنشار","2151585","2","26.0","26.0","0.0","0.0","1943-03-21","1943-03-21"
"Siliana","سليانة","Kesra","كسرى","Bou Abdallah","بو عبد الله","2459928","7","26.0","15.0","11.0","0.0","1943-04-16","1943-05-05"
"Tunis","تونس","El Hrairia","الحرايرية","Ghédir El Golla","غدير القلة","1163101","1","24.0","24.0","0.0","0.0","1943-04-30","1943-04-30"
"Mannouba","منوبة","Djedeida","الجديدة","Ez - Zahra","الزهرة","1456315","4","22.0","14.0","8.0","0.0","1943-03-04","1943-05-06"
"Sfax","صفاقس","Ghraiba","الغريبة","Hchichina Nord","الحشيشنة الشمالية","34621315","2","22.0","22.0","0.0","0.0","1943-01-17","1943-01-17"
"Beja","باجة","Béja Nord","باجة الشمالية","El Mzara","المزارة","2151578","1","21.6","21.6","0.0","0.0","1943-03-03","1943-03-03"
"Nabeul","نابل","Hammamet","الحمامات","Sidi Djedidi","سيدي الجديدي","1566419","6","21.0","15.0","6.0","0.0","1943-05-11","1943-05-11"
"Beja","باجة","Goubellat","قبلاط","Dour Esmail","دور إسماعيل","2158659","6","21.0","3.0","18.0","0.0","1943-04-22","1943-04-22"
"Tataouine","تطاوين","Smâr","الصمار","El Ghariani","الغر ياني","53531882","6","21.0","6.0","15.0","0.0","1943-04-16","1943-04-22"
"Beja","باجة","Medjez El Bab","مجاز الباب","Sidi Nasr","سيدي نصر","2159671","1","20.4","20.4","0.0","0.0","1943-03-02","1943-03-02"
"Gabes","قابس","El Hamma","الحامة","Bou Attouch","بوعطوش","51571731","6","20.0","2.0","18.0","0.0","1943-04-04","1943-04-04"
"Gafsa","قفصة","EL Guetar","القطار","Bir Sâad","بئر سعد","61591976","4","20.0","8.0","12.0","0.0","1943-04-07","1943-04-07"
"Sousse","سوسة","Sousse Sidi Abdelhamid","سوسة سيدي عبد الحميد","Taieb Mhiri","الطيب المهيري","3154962","4","18.0","18.0","0.0","0.0","1943-01-08","1943-01-15"
"Siliana","سليانة","Bou Arada","بوعرادة","Bouarada","بوعرادة","2453878","1","17.88","17.88","0.0","0.0","1943-03-03","1943-03-03"
