event_id,date,year,month,theater_standard,theater_raw,air_force,command_or_task_force,sub_region,mission_number,aircraft_models,has_claims,has_losses,has_casualties,event_text
EVT_19430402_00052,1943-04-02,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Eleventh Air Force,,Tunisia,,"P-40, P-38, B-25, A-20",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Tunisia, B-25's and A-20's bomb the airfield at La Fauconnerie. SOUTH PACIFIC THEATER OF OPERATIONS (Thirteenth Air Force) In the Solomons, P-38's and P-40's attack and set fire to a small cargo vessel in Kokolope Bay."
EVT_19430403_00056,1943-04-03,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Tunisia,,"P-40, B-25",0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Tunisia, B-25's the bomb Sfax-El Maou area during the night of 2/3 Apr. P-40's fly fighter-bomber missions N of Gabes. HQ, 12th Bombardment Group (Medium) and it's 434th Bombardment Squadron (Medium) with B-25's transfer from El Assa, Libya to Medenine, Tunisia."
EVT_19430403_00057,1943-04-03,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,NASAF,,Tunisia,,"P-39, B-25",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) Weather cancels Northwest African Strategic Air Force (NASAF) bomber operations. In Tunisia, Northwest African Tactical Air Force (NATAF) fighters strafe tanks and trucks at Kebira and Jabal Nasir Allah, and claim 14 aircraft downed in aerial combat over Djebel Berda. B-25's bomb the airfield at Sainte-Marie du Zit. Western Desert Air Force (WDAF) light bombers hit motor transport and gun positions N of Oued el Akarit. HQ, 81st Fighter Group and its 93d Fighter Squadron with P-39's transfer from Thelepte, Tunisia to Bone, Algeria to patrol the coast of Africa and protect Allied shipping in the Mediterranean."
EVT_19430405_00069,1943-04-05,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,NASAF,,Sicily,,"WELLINGTON, P-38, A-20, P-39, B-25, B-17",1,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Sicily during the night of 4/5 Apr, Northwest African Strategic Air Force (NASAF) Wellingtons bomb the Trapani docks and shipping. During the day, B-17's bomb the airfields at Boccadifalco and Milo. In Tunisia, B-17's bomb airfields at Sidi Ahmed and Tunis. B-25's hit the airfield at Bo Rizzo and attack a convoy off Cap Bon. P-38's fly several fighter sweeps over the Straits of Sicily. One force of fighters claims 16 airplanes destroyed. Northwest African Tactical Air Force (NATAF) A-20's hit the Airfield at El Djem and La Fauconnerie. Fighters attack E-boats off Pont-du-Fahs and vehicles S of Bou Hamran, and fly sweeps, reconnaissance, and patrol over the battle area in Tunisia. Western Desert Air Force (WDAF) and Northwest African Coastal Air Force (NACAF) aircraft hit motor transport W of Cekhira, bomb Djebel Zitouna Airfield, and strike shipping in the Straits of Sicily. During the day Northwest African Air Force (NAAF) aircraft claim destruction of nearly 50 aircraft in aerial combat. Today starts Operations FLAX (5-22 Apr) which is designed to destroy, in the air and on the ground, enemy air transports and escorts employed in ferrying personnel and supplies to Tunisia. HQ 325th Fighter Group transfers from Tafaraoui, Algeria to Montesquieu, Algeria. The 84th Bombardment Squadron (Light), 47th Bombardment Group (Light) with A-20's transfers from Canrobert, Algeria to Thelepte, Tunisia. The 91st and 93d Fighter Squadrons, 81st Fighter Group with P-39's transfer from Thelepte, Tunisia to Bone, Algeria."
EVT_19430406_00074,1943-04-06,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Seventh Air Force,,Sicily,,"WELLINGTON, P-38, A-20, P-51, P-39, B-25, B-17",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Sicily, B-17's bomb the docks and ships at Trapani. In Tunisia during the night of 5/6 April, Wellingtons bomb the dock and shipping at Tunis. During the day, B-25's and P-38's attack shipping in the Straits of Sicily. Two forces of B-17's bomb a convoy further W, near Zembra Island and hit a convoy off Bizerte. B-25's and A-20's attack landing grounds and airfields at Enfidaville, La Fauconnerie, and El Djem. La Fauconnerie bears the brunt of the attacks and is well covered. Fighters escort the bombing raids, fly reconnaissance missions, and attack scattered enemy movement. HQ 27th Bombardment Group (Light) and it's 91st Bombardment Squadron (Light) with A-20's transfer from Nouvion, Algeria to Ras el Ma, French Morocco. The 92d Fighter Squadron, 81st Fighter Group with P-39's transfers from Youks-les-Bains, Algeria to Maison Blanche, Algeria. The 154th Observation Squadron, 68th Observation Group with P-39's and P-51's transfers from Thelepte, Tunisia to Sbeitla, Tunisia."
EVT_19430407_00080,1943-04-07,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,NASAF,,Tunisia,,"WELLINGTON, SPITFIRE",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Tunisia, Northwest African Strategic Air Force (NASAF) Wellingtons attack Tunis and the Jabal al Jallud Marshalling Yard. Weather cancels all other NASAF missions except for 2 reconnaissance sorties. All available airplanes of the XII Air Support Command and Western Desert Air Force (WDAF) hit ground forces which are retreating in all sectors. Fighters fly sweeps over Medjez el Bab (claiming 3 fighters downed), a scramble mission NW of Oued Zarga (5 fighters are claimed destroyed), and over 100 other sorties (no encounters). Highway and motor transport are bombed between Sfax and Sousse. Light and medium bombers, and fighter-bombers attack concentrations N of the Oued el Akarit line. Units of the US II Corps make contact with the British Eighth Army on the Gabes-Gafsa road. HQ 31st Fighter Group and it's 307th, 308th and 309th Fighter Squadrons with Spitfires transfer from Thelepte, Tunisia to Djilma, Tunisia. The 318th Fighter Squadron, 325th Fighter Group with P-40F's transfers from Tafaraoui, Algeria to Montesquieu, Algeria.  The squadron will fly it's first combat mission on 17 Apr 43."
EVT_19430408_00086,1943-04-08,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Tunisia,,P-40,0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Tunisia, P-40's fly 29 bomber escort, armed reconnaissance, and fighter-bomber missions against retreating column along coast N of Gabes."
EVT_19430408_00087,1943-04-08,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,NASAF,,Tunisia,,"P-40, SPITFIRE",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) Weather prevents all Northwest African Strategic Air Force (NASAF) operations except minimum weather reconnaissance. In Tunisia, Northwest African Tactical Air Force (NATAF) P-40's and Spitfires fly sweeps and armed reconnaissance over the Faid Pass-Fondouk el Aouareb-Kairouan-Ousseltia area as the British X Corps attacks Fondouk. Other fighters fly widespread reconnaissance and sweeps, attacking motor transport S of Zaghouan. Western Desert Air Force (WDAF) fighters hit retreating columns in the Cekhira-Sfax area."
EVT_19430409_00091,1943-04-09,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Tunisia,,P-40,0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Tunisia, P-40's in a fighter-bomber role attack Sfax, as the British Eighth Army, in pursuit of the retreating enemy, reaches a position a few miles to the SW of the coast."
EVT_19430409_00092,1943-04-09,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Eleventh Air Force,,Tunisia,,,0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Tunisia, fighters continue reconnaissance of the N half of Tunisia and the Straits of Sicily and hit enemy movement and defenses over wide areas between Sfax and Enfidaville. HQ 320th Bombardment Group (Medium) and it's 443d Bombardment Squadron (Medium) with B-26B's transfer from Tafaraoui, Algeria to Montesquieu, Algeria. The 319th Fighter Squadron, 325th Fighter Group with P-40F's transfers from Tafaraoui, Algeria to Montesquieu, Algeria. The squadron will fly it's first mission on 17 Apr 43."
